_id,book_title,book_author,book_description,image_urls,book_url,image_file_path
67422ef98868e4abd7479580,Manajemen pemasaran,Bambang Tri Cahyono,"Marketing management system of agribusiness and industry in Indonesia; collected articles.
",['https:/images/icons/avatar_book.png'],https://openlibrary.org/works/OL3223317W/Manajemen_pemasaran,photos/Manajemen pemasaran__7e8f95bf7bec946e0f8e9456442fb8918556ce84.jpg
67422ef98868e4abd7479581,El héroe perdido,Rick Riordan,"Jason has a problem. He doesn’t remember anything before waking up on a school bus holding hands with a girl.  Apparently, she’s his girlfriend Piper, his best friend is a kid named Leo, and they’re all students in the Wilderness School, a boarding school for “bad kids.”  What he did to end up here, Jason has no idea—except that everything seems very wrong.
",['https://covers.openlibrary.org/b/id/14657589-M.jpg'],https://openlibrary.org/works/OL15401200W/The_Lost_Hero?edition=ia%3Aelheroeperdido0000rior,photos/El héroe perdido__75060280d4c49c6089ac0dad24b56df84356ef63.jpg
67422ef98868e4abd7479582,The time machine,H. G. Wells,"The Time Traveller, a dreamer obsessed with traveling through time, builds himself a time machine and, much to his surprise, travels over 800,000 years into the future. He lands in the year 802701: the world has been transformed by a society living in apparent harmony and bliss, but as the Traveler stays in the future he discovers a hidden barbaric and depraved subterranean class. Wells's transparent commentary on the capitalist society was an instant bestseller and launched the time-travel genre.
",['https://covers.openlibrary.org/b/id/7220988-M.jpg'],https://openlibrary.org/works/OL52267W/The_Time_Machine?edition=ia%3Atimemachineinven00welluoft,photos/The time machine__b6f5c504ea2bf3746dab3613c91c205431122980.jpg
67422efa8868e4abd7479583,Wicked,Gregory Maguire,"A fable for adults on the subject of destiny and free will by a writer of children's books. It tells the story of Elphaba before she became the Wicked Witch of the West in the land of Oz. The novel traces her career as nun, nurse, pro-democracy activist and animal rights defender.
",['https://covers.openlibrary.org/b/id/10822929-M.jpg'],https://openlibrary.org/works/OL66218W/Wicked?edition=ia%3Awickedmemoriasde0000magu,photos/Wicked__096cb564b8972107924cda6a7e21d2e059bfb59a.jpg
67422efb8868e4abd7479584,Evaluation,Carol H. Weiss,,['https://covers.openlibrary.org/b/id/90113-M.jpg'],https://openlibrary.org/works/OL2738600W/Evaluation?edition=ia%3Aevaluationmethod00weis,photos/Evaluation__ee4544607bfb22509a1a9e372eff790489bad034.jpg
67422efc8868e4abd7479585,A Girl in a Million,Kako Itō,"""A student nurse catches the love bug for an attractive doctor, but can a sophisticated guy with a complicated life find the extraordinary in an ordinary girl like her?""--P. [4] of cover.
",['https://covers.openlibrary.org/b/id/10346770-M.jpg'],https://openlibrary.org/works/OL3458069W/A_Girl_in_a_Million?edition=ia%3Agirlinmillion0000itok,photos/A Girl in a Million__32979df13c97beabf9713e8d00c5783d2331b2af.jpg
67422efe8868e4abd7479586,Cantik itu luka,Eka Kurniawan,,['https:/images/icons/avatar_book.png'],https://openlibrary.org/works/OL5881662W/Cantik_itu_luka,photos/Cantik itu luka__7e8f95bf7bec946e0f8e9456442fb8918556ce84.jpg
67422efe8868e4abd7479587,Déchaîné,Dav Pilkey,"220 pages : 21 cm
",['https://covers.openlibrary.org/b/id/14563042-M.jpg'],https://openlibrary.org/works/OL17623412W/Dog_Man_Unleashed?edition=ia%3Asuperchien2decha0000pilk,photos/Déchaîné__46598cf6e67e3cbcc84cc4b907aec0a133d0433e.jpg
67422eff8868e4abd7479588,Programação de Sistemas Embarcados,Rodrigo de Almeida,,['https://covers.openlibrary.org/b/id/11077454-M.jpg'],https://openlibrary.org/works/OL24470175W/Programa%C3%A7%C3%A3o_de_Sistemas_Embarcados,photos/Programação de Sistemas Embarcados__e9544a29ad47d1f153a315adce88bf58fffec109.jpg
67422f008868e4abd7479589,Hábitos Atómicos,James Clear,"Traducido por Gabriela Moya
",['https://covers.openlibrary.org/b/id/14652634-M.jpg'],https://openlibrary.org/works/OL37767407W/H%C3%A1bitos_at%C3%B3micos_Atomic_Habits,photos/Hábitos Atómicos__77e858252c8f477b4851bae0213451b0a28bb6dc.jpg
